Sample ID	att exkludera	Array Info.Sentrix ID	Array Info.Sentrix Position
EPH1_2000931357.1_39R05C02		9274736134	R05C02
EPH1_2000931358.1_93R05C02		9275885078	R05C02
EPH1_2000931369.1_39R04C02		9274736134	R04C02
EPH1_2000931370.1_93R04C02		9275885078	R04C02
EPH1_2000931371.1_39R03C01		9274736134	R03C01
EPH1_2000931585.1_29R05C01		9274736148	R05C01
EPH1_2000931587.1_29R04C01		9274736148	R04C01
EPH1_2000931590.1_58R03C01		9274736073	R03C01
EPH1_2000931599.1_177R05C02		9274735034	R05C02
EPH1_2000931600.1_29R02C01		9274736148	R02C01
EPH1_2000931601.1_58R04C01		9274736073	R04C01
EPH1_2000931610.1_124R01C01		9275884020	R01C01
EPH1_2000931613.1_122R06C02		9275878126	R06C02
EPH1_2000931614.1_122R02C02		9275878126	R02C02
EPH1_2000931625.1_29R01C01		9274736148	R01C01
EPH1_2000931626.1_122R01C02		9275878126	R01C02
EPH1_2000931633.1_124R02C01		9275884020	R02C01
EPH1_2000931634.1_177R06C02		9274735034	R06C02
EPH1_2000931635.1_29R03C01		9274736148	R03C01
EPH1_2000931638.1_58R02C01		9274736073	R02C01
EPH1_2000931645.1_58R01C02		9274736073	R01C02
EPH1_2000931647.1_204R05C01		9275884087	R05C01
EPH1_2000931648.1_58R05C01		9274736073	R05C01
EPH1_2000931650.1_10R06C02		9270018245	R06C02
EPH1_2000931650.1_29R05C02		9274736148	R05C02
EPH1_2000931657.1_179R01C01		9274735070	R01C01
EPH1_2000931661.1_122R03C02		9275878126	R03C02
EPH1_2000931662.1_58R01C01		9274736073	R01C01
EPH1_2000931669.1_58R06C01		9274736073	R06C01
EPH1_2000931670.1_128R04C02		9275884092	R04C02
EPH1_2000931672.1_170R02C01		9273354105	R02C01
EPH1_2000931673.1_128R03C02		9275884092	R03C02
EPH1_2000931674.1_10R05C02		9270018245	R05C02
EPH1_2000931680.1_10R04C02		9270018245	R04C02
EPH1_2000931689.1_112R04C02		9275885109	R04C02
EPH1_2000931691.1_112R03C02		9275885109	R03C02
EPH1_2000931700.1_167R06C02		9275884074	R06C02
EPH1_2000931701.1_55R02C01		9274735138	R02C01
EPH1_2000931702.1_9R04C02		9270018233	R04C02
EPH1_2000931735.1_110R01C01		9275885031	R01C01
EPH1_2000931747.1_155R02C01		9275883122	R02C01
EPH1_2000931748.1_177R06C01		9274735034	R06C01
EPH1_2000931749.1_177R04C01		9274735034	R04C01
EPH1_2000931760.1_177R05C01		9274735034	R05C01
EPH1_2000931762.1_204R01C01		9275884087	R01C01
EPH1_2000931770.1_110R02C01		9275885031	R02C01
EPH1_2000931771.1_155R01C01		9275883122	R01C01
EPH1_2000931772.1_204R02C01		9275884087	R02C01
EPH1_2001806343.1_55R06C02		9274735138	R06C02
EPH1_2001806344.1_55R04C02		9274735138	R04C02
EPH1_2001806346.1_177R02C02		9274735034	R02C02
EPH1_2001806347.1_122R01C01		9275878126	R01C01
EPH1_2001806356.1_55R03C02		9274735138	R03C02
EPH1_2001806357.1_122R06C01		9275878126	R06C01
EPH1_2001806358.1_55R06C01		9274735138	R06C01
EPH1_2001806367.1_10R03C02		9270018245	R03C02
EPH1_2001806368.1_177R04C02		9274735034	R04C02
EPH1_2001806370.1_122R04C01		9275878126	R04C01
EPH1_2001806379.1_204R04C01		9275884087	R04C01
EPH1_2001806381.1_55R01C02		9274735138	R01C02
EPH1_2001806382.1_10R04C01		9270018245	R04C01
EPH1_2001806391.1_55R05C02		9274735138	R05C02
EPH1_2001806392.1_177R03C02		9274735034	R03C02
EPH1_2001806395.1_55R04C01		9274735138	R04C01
EPH1_2001806403.1_10R02C02		9270018245	R02C02
EPH1_2001806404.1_55R02C02		9274735138	R02C02
EPH1_2001806406.1_122R03C01		9275878126	R03C01
EPH1_2001806416.1_10R06C01		9270018245	R06C01
EPH1_2001806417.1_122R05C01		9275878126	R05C01
EPH1_2001806418.1_122R02C01		9275878126	R02C01
EPH1_2001806427.1_10R01C02		9270018245	R01C02
EPH1_2001806429.1_10R05C01		9270018245	R05C01
EPH1_2001806430.1_55R05C01		9274735138	R05C01
EPH1_2002229323.1_166R01C02		9275884073	R01C02
EPH1_2002229324.1_166R05C01		9275884073	R05C01
EPH1_2002229347.1_64R06C01		9275844100	R06C01
EPH1_2002229348.1_166R04C01		9275884073	R04C01
EPH1_2002229371.1_107R02C01		9275884103	R02C01
EPH1_2002229372.1_24R06C01		9274736055	R06C01
EPH1_2002229395.1_166R06C01		9275884073	R06C01
EPH1_2002229396.1_166R03C01		9275884073	R03C01
EPH1_2002229405.1_107R03C01		9275884103	R03C01
EPH1_2002229406.1_166R02C02		9275884073	R02C02
EPH1_2002266379.1_206R02C02		9275884136	R02C02
EPH1_2002266380.1_9R02C01		9270018233	R02C01
EPH1_2002266391.1_106R05C02		9275884090	R05C02
EPH1_2002266392.1_182R01C02		9274735090	R01C02
EPH1_2002266403.1_182R04C02		9274735090	R04C02
EPH1_2002266404.1_106R04C02		9275884090	R04C02
EPH1_2002266415.1_61R04C01		9274736123	R04C01
EPH1_2002266416.1_182R06C01		9274735090	R06C01
EPH1_2002266427.1_182R03C02		9274735090	R03C02
EPH1_2002266439.1_182R02C02		9274735090	R02C02
EPH1_2002266440.1_9R01C01		9270018233	R01C01
EPH1_2002266452.1_211R03C01		9275884014	R03C01
EPH1_2002266461.1_61R05C01		9274736123	R05C01
EPH1_2002289601.1_107R02C02		9275884103	R02C02
EPH1_2002289602.1_107R06C01		9275884103	R06C01
EPH1_2002289603.1_195R01C02		9274735057	R01C02
EPH1_2002289637.1_107R01C02		9275884103	R01C02
EPH1_2002289638.1_150R01C01		9275882012	R01C01
EPH1_2002289673.1_64R03C02		9275844100	R03C02
EPH1_2002289674.1_195R03C02		9274735057	R03C02
EPH1_2002289685.1_7R03C02		9270009093	R03C02
EPH1_2002289686.1_195R02C02		9274735057	R02C02
EPH1_2002688481.1_156R06C02		9275883135	R06C02
EPH1_2002688481.1_187R05C02		9275883121	R05C02
EPH1_2002688482.1_115R01C02		9275885142	R01C02
EPH1_2002688485.1_209R04C01		9275885057	R04C01
EPH1_2002688486.1_209R03C01		9275885057	R03C01
EPH1_2002688487.1_115R04C01		9275885142	R04C01
EPH1_2002688488.1_115R01C01		9275885142	R01C01
EPH1_2002688495.1_156R05C02		9275883135	R05C02
EPH1_2002688497.1_156R03C02		9275883135	R03C02
EPH1_2002688498.1_215R04C02		9275884058	R04C02
EPH1_2002688499.1_156R05C01		9275883135	R05C01
EPH1_2002688500.1_100R06C02		9275878117	R06C02
EPH1_2002688501.1_11R05C02		9271670074	R05C02
EPH1_2002688503.1_67R04C02		9275884129	R04C02
EPH1_2002688509.1_156R02C02		9275883135	R02C02
EPH1_2002688510.1_156R06C01		9275883135	R06C01
EPH1_2002688511.1_209R01C01		9275885057	R01C01
EPH1_2002688512.1_156R04C01		9275883135	R04C01
EPH1_2002688513.1_100R03C02		9275878117	R03C02
EPH1_2002688514.1_161R06C02		9275884008	R06C02
EPH1_2002688515.1_161R05C02		9275884008	R05C02
EPH1_2002688516.1_100R05C01		9275878117	R05C01
EPH1_2002688518.1_115R06C01		9275885142	R06C01
EPH1_2002688523.1_115R03C01		9275885142	R03C01
EPH1_2002688524.1_156R03C01		9275883135	R03C01
EPH1_2002688525.1_170R05C02		9273354105	R05C02
EPH1_2002688527.1_100R06C01		9275878117	R06C01
EPH1_2002688531.1_170R06C02		9273354105	R06C02
EPH1_2002688532.1_156R04C02		9275883135	R04C02
EPH1_2002688533.1_115R05C01		9275885142	R05C01
EPH1_2002688534.1_215R03C02		9275884058	R03C02
EPH1_2002688536.1_213R04C01		9275884024	R04C01
EPH1_2002688538.1_100R01C02		9275878117	R01C02
EPH1_2002688541.1_12R01C01		9271670108	R01C01
EPH1_2002688542.1_209R05C01		9275885057	R05C01
EPH1_2002688547.1_202R06C02		9275884070	R06C02
EPH1_2002688548.1_213R03C01		9275884024	R03C01
EPH1_2002688549.1_123R04C01		9275883064	R04C01
EPH1_2002688551.1_11R03C02		9271670074	R03C02
EPH1_2002688557.1_213R05C01		9275884024	R05C01
EPH1_2002688558.1_209R02C01		9275885057	R02C01
EPH1_2002688559.1_115R02C01		9275885142	R02C01
EPH1_2002688560.1_67R06C02		9275884129	R06C02
EPH1_2002688561.1_100R02C02		9275878117	R02C02
EPH1_2002688562.1_11R04C02		9271670074	R04C02
EPH1_2002688568.1_72R01C01		9275885110	R01C01
EPH1_2002688571.1_11R06C02		9271670074	R06C02
EPH1_2002688572.1_123R05C01		9275883064	R05C01
EPH1_2002688574.1_67R05C02		9275884129	R05C02
EPH1_2002688577.1_75R03C02		9274736007	R03C02
EPH1_2002688578.1_140R01C01		9275885042	R01C01
EPH1_2002688580.1_75R04C01		9274736007	R04C01
EPH1_2002688582.1_80R06C02		9274736091	R06C02
EPH1_2002688593.1_75R02C01		9274736007	R02C01
EPH1_2002688594.1_80R05C02		9274736091	R05C02
EPH1_2002688602.1_142R06C02		9275885083	R06C02
EPH1_2002688605.1_142R05C02		9275885083	R05C02
EPH1_2002688617.1_173R01C02		9273354164	R01C02
EPH1_2002688618.1_211R06C02		9275884014	R06C02
EPH1_2002688625.1_75R02C02		9274736007	R02C02
EPH1_2002688628.1_75R03C01		9274736007	R03C01
EPH1_2002688629.1_173R06C01		9273354164	R06C01
EPH1_2002688637.1_75R01C02		9274736007	R01C02
EPH1_2002688638.1_75R06C01		9274736007	R06C01
EPH1_2002688640.1_41R04C02		9275844157	R04C02
EPH1_2002688641.1_75R01C01		9274736007	R01C01
EPH1_2002688642.1_41R03C02		9275844157	R03C02
EPH1_2002688649.1_173R02C02		9273354164	R02C02
EPH1_2002688650.1_75R05C01		9274736007	R05C01
EPH1_2002688665.1_142R04C02		9275885083	R04C02
EPH1_2002688676.1_215R04C01		9275884058	R04C01
EPH1_2002688677.1_157R06C02		9275883140	R06C02
EPH1_2002688679.1_157R05C02		9275883140	R05C02
EPH1_2002688680.1_157R02C02		9275883140	R02C02
EPH1_2002688681.1_103R02C01		9275884013	R02C01
EPH1_2002688684.1_157R02C01		9275883140	R02C01
EPH1_2002688686.1_162R02C02		9275884009	R02C02
EPH1_2002688687.1_162R06C01		9275884009	R06C01
EPH1_2002688690.1_201R03C02		9275883065	R03C02
EPH1_2002688691.1_103R05C01		9275884013	R05C01
EPH1_2002688692.1_157R01C02		9275883140	R01C02
EPH1_2002688693.1_103R01C01		9275884013	R01C01
EPH1_2002688694.1_108R06C02		9275884118	R06C02
EPH1_2002688696.1_11R04C01		9271670074	R04C01
EPH1_2002688698.1_103R02C02		9275884013	R02C02
EPH1_2002688700.1_162R03C01		9275884009	R03C01
EPH1_2002688702.1_11R06C01		9271670074	R06C01
EPH1_2002688703.1_157R04C02		9275883140	R04C02
EPH1_2002688704.1_103R03C01		9275884013	R03C01
EPH1_2002688705.1_11R05C01		9271670074	R05C01
EPH1_2002688706.1_108R05C02		9275884118	R05C02
EPH1_2002688712.1_162R02C01		9275884009	R02C01
EPH1_2002688713.1_183R06C02		9274735128	R06C02
EPH1_2002688715.1_103R04C01		9275884013	R04C01
EPH1_2002688719.1_157R04C01		9275883140	R04C01
EPH1_2002688720.1_201R05C01		9275883065	R05C01
EPH1_2002688725.1_213R01C01		9275884024	R01C01
EPH1_2002688726.1_103R06C01		9275884013	R06C01
EPH1_2002688727.1_157R03C02		9275883140	R03C02
EPH1_2002688728.1_201R01C02		9275883065	R01C02
EPH1_2002688729.1_68R06C02		9275884133	R06C02
EPH1_2002688730.1_157R05C01		9275883140	R05C01
EPH1_2002688732.1_201R04C01		9275883065	R04C01
EPH1_2002688735.1_162R05C01		9275884009	R05C01
EPH1_2002688736.1_67R01C01		9275884129	R01C01
EPH1_2002688737.1_215R03C01		9275884058	R03C01
EPH1_2002688743.1_211R06C01		9275884014	R06C01
EPH1_2002688746.1_162R01C02		9275884009	R01C02
EPH1_2002688748.1_213R02C01		9275884024	R02C01
EPH1_2002688749.1_103R01C02		9275884013	R01C02
EPH1_2002688751.1_201R02C02		9275883065	R02C02
EPH1_2002688752.1_201R06C01		9275883065	R06C01
EPH1_2002688753.1_157R06C01		9275883140	R06C01
EPH1_2002688755.1_157R03C01		9275883140	R03C01
EPH1_2002688756.1_201R03C01		9275883065	R03C01
EPH1_2002688757.1_67R02C01		9275884129	R02C01
EPH1_2002688759.1_162R04C01		9275884009	R04C01
EPH1_2002688760.1_201R04C02		9275883065	R04C02
EPH1_2002688764.1_215R02C01		9275884058	R02C01
EPH1_2002688765.1_68R05C02		9275884133	R05C02
EPH1_2002688767.1_108R04C02		9275884118	R04C02
EPH1_2002689007.1_90R02C01		9275883130	R02C01
EPH1_2002689032.1_90R01C01		9275883130	R01C01
EPH1_2002689055.1_134R05C02		9275884158	R05C02
EPH1_2002689056.1_83R06C02		9275844062	R06C02
EPH1_2002689056.1_90R05C02		9275883130	R05C02
EPH1_2002689057.1_111R05C01		9275885101	R05C01
EPH1_2002689058.1_176R06C01		9274735031	R06C01
EPH1_2002689059.1_111R02C01		9275885101	R02C01
EPH1_2002689060.1_70R02C01		9275885028	R02C01
EPH1_2002689061.1_121R04C02		9275886026	R04C02
EPH1_2002689062.1_121R01C02		9275886026	R01C02
EPH1_2002689063.1_121R04C01		9275886026	R04C01
EPH1_2002689064.1_121R02C01		9275886026	R02C01
EPH1_2002689065.1_178R02C01		9274735052	R02C01
EPH1_2002689068.1_190R01C02		9275883139	R01C02
EPH1_2002689069.1_176R02C02		9274735031	R02C02
EPH1_2002689071.1_70R03C01		9275885028	R03C01
EPH1_2002689072.1_176R01C01		9274735031	R01C01
EPH1_2002689074.1_207R04C01		9275884153	R04C01
EPH1_2002689075.1_121R03C01		9275886026	R03C01
EPH1_2002689076.1_70R01C01		9275885028	R01C01
EPH1_2002689077.1_121R01C01		9275886026	R01C01
EPH1_2002689079.1_128R01C02		9275884092	R01C02
EPH1_2002689083.1_111R01C01		9275885101	R01C01
EPH1_2002689084.1_178R06C02		9274735052	R06C02
EPH1_2002689086.1_121R06C01		9275886026	R06C01
EPH1_2002689088.1_178R05C01		9274735052	R05C01
EPH1_2002689090.1_207R02C01		9275884153	R02C01
EPH1_2002689091.1_212R01C02		9275884022	R01C02
EPH1_2002689093.1_111R04C01		9275885101	R04C01
EPH1_2002689094.1_176R05C01		9274735031	R05C01
EPH1_2002689095.1_176R03C01		9274735031	R03C01
